x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
55,22,4,"(55, 22, 4)",2.4972,0.019143,0.7984,1.0522,1.0372,True
38,40,15,"(38, 40, 15)",-2.434,0.019155,-0.6146,1.0403,1.0529,False
36,24,18,"(36, 24, 18)",-2.4334,0.019187,-0.6144,1.0285,1.0391,False
33,25,19,"(33, 25, 19)",-2.4259,0.01919,-0.6262,1.0146,1.03,False
37,24,6,"(37, 24, 6)",2.449,0.019197,0.7246,1.0299,1.0086,True
47,16,11,"(47, 16, 11)",-2.4399,0.0192,-0.6076,1.029,1.0476,False
19,70,20,"(19, 70, 20)",-2.4247,0.019211,-0.6278,1.024,1.0416,False
14,67,19,"(14, 67, 19)",-2.4273,0.019228,-0.6216,1.0367,1.046,False
18,55,24,"(18, 55, 24)",-2.4594,0.01925,-0.595,1.0041,1.039,False
58,14,20,"(58, 14, 20)",2.4773,0.019253,0.772,1.0494,1.0395,True
9,51,20,"(9, 51, 20)",-2.4205,0.019255,-0.6436,1.0237,1.0363,False
56,41,28,"(56, 41, 28)",-2.4497,0.019261,-0.5997,1.0287,1.0438,False
16,42,18,"(16, 42, 18)",-2.4239,0.019298,-0.6249,1.0061,1.0251,False
35,14,7,"(35, 14, 7)",-2.4198,0.019301,-0.6534,1.0305,1.0447,False
53,23,4,"(53, 23, 4)",2.4426,0.019308,0.7167,1.0417,1.0259,True
35,83,22,"(35, 83, 22)",-2.4338,0.019309,-0.6105,1.0301,1.049,False
34,11,13,"(34, 11, 13)",-2.4189,0.019371,-0.6574,1.0166,1.0366,False
54,61,20,"(54, 61, 20)",-2.4326,0.019384,-0.6096,0.9745,1.0025,False
65,71,8,"(65, 71, 8)",-2.4179,0.019385,-0.6405,1.0295,1.0442,False
30,44,22,"(30, 44, 22)",-2.4467,0.019389,-0.5991,1.0435,1.0528,False
53,35,15,"(53, 35, 15)",-2.4275,0.019401,-0.6147,1.0431,1.0517,False
63,64,8,"(63, 64, 8)",-2.4349,0.019402,-0.607,1.0334,1.0488,False
48,49,22,"(48, 49, 22)",-2.4203,0.019405,-0.6276,1.0089,1.0279,False
6,63,18,"(6, 63, 18)",-2.4184,0.01942,-0.6606,1.045,1.0525,False
55,23,20,"(55, 23, 20)",-2.4188,0.01943,-0.6303,1.0164,1.0397,False
50,13,15,"(50, 13, 15)",2.4554,0.019443,0.743,1.0401,1.0262,True
40,34,9,"(40, 34, 9)",2.4317,0.019459,0.7006,0.9175,0.8323,True
59,72,10,"(59, 72, 10)",2.4692,0.019462,0.7652,1.0351,1.0177,True
30,47,16,"(30, 47, 16)",2.4992,0.019475,0.8098,0.9765,0.9201,True
29,36,8,"(29, 36, 8)",-2.423,0.019479,-0.6184,1.013,1.0325,False
61,35,9,"(61, 35, 9)",-2.4291,0.019481,-0.6105,1.036,1.0514,False
57,46,31,"(57, 46, 31)",-2.4675,0.019485,-0.5888,1.0112,1.0509,False
51,28,8,"(51, 28, 8)",-2.4199,0.019485,-0.6239,1.0154,1.0354,False
16,68,22,"(16, 68, 22)",-2.4157,0.019489,-0.6511,1.0332,1.0445,False
24,53,31,"(24, 53, 31)",-2.4228,0.019492,-0.6183,1.0433,1.0567,False
48,10,21,"(48, 10, 21)",-2.4155,0.019535,-0.6345,1.0428,1.0511,False
66,63,12,"(66, 63, 12)",-2.4295,0.01954,-0.6085,0.9983,1.0243,False
22,32,7,"(22, 32, 7)",-2.4142,0.019563,-0.6396,1.01,1.032,False
4,38,17,"(4, 38, 17)",2.4727,0.019597,0.7742,1.0386,1.0215,True
32,45,10,"(32, 45, 10)",2.4464,0.019601,0.7328,0.9911,0.955,True
52,64,27,"(52, 64, 27)",-2.4171,0.019613,-0.6235,1.0388,1.05,False
62,33,24,"(62, 33, 24)",2.5051,0.019615,0.8216,1.046,1.0193,True
49,34,20,"(49, 34, 20)",2.4171,0.019616,0.671,1.0253,1.0104,True
36,95,19,"(36, 95, 19)",-2.4296,0.019617,-0.6065,0.9819,1.0313,False
15,70,25,"(15, 70, 25)",-2.4586,0.019622,-0.5901,1.0203,1.0502,False
49,87,21,"(49, 87, 21)",-2.4252,0.019623,-0.6107,1.0241,1.0456,False
36,65,30,"(36, 65, 30)",-2.4364,0.019624,-0.6011,1.0343,1.0481,False
42,61,22,"(42, 61, 22)",-2.4173,0.019641,-0.6216,1.0447,1.0506,False
74,44,19,"(74, 44, 19)",-2.4134,0.019645,-0.6326,1.0362,1.0457,False
34,19,8,"(34, 19, 8)",-2.4138,0.019656,-0.6302,1.0425,1.0533,False
26,53,9,"(26, 53, 9)",-2.4487,0.019661,-0.5936,1.0047,1.0459,False
34,13,13,"(34, 13, 13)",-2.436,0.019684,-0.6002,1.0197,1.0393,False
66,35,16,"(66, 35, 16)",-2.4165,0.019689,-0.621,1.0351,1.0482,False
69,25,15,"(69, 25, 15)",-2.4181,0.0197,-0.6788,1.0271,1.0426,False
65,37,15,"(65, 37, 15)",-2.4189,0.019705,-0.6162,1.0436,1.0541,False
24,66,8,"(24, 66, 8)",-2.4466,0.019739,-0.5934,0.9941,1.0384,False
